# Functions safe to replace (no internal ARM callers)
# addr size name
0x001e3221      116 _ZN13EffectManager9addEffectEP15LogicEffectDataP10GameObjectffiib
0x001e3295       92 _ZN13EffectManager4initEP6EffectP15LogicEffectData
0x001e32f1      276 _ZN13EffectManager9addEffectEP15LogicEffectDataii
0x001e3405      292 _ZN13EffectManager9addEffectEP15LogicEffectDatafff
0x001e360d      136 _ZN13EffectManager13itemCollectedEfffffffP9MovieClipP17LogicResourceData
0x001e36f9      112 _ZN17EnvironmentObjectC2EP26LogicEnvironmentObjectDataRK6StringS4_
0x001e36f9      112 _ZN17EnvironmentObjectC1EP26LogicEnvironmentObjectDataRK6StringS4_
0x001e399d      228 _ZN15ParticleEmitterC1EP24LogicParticleEmitterDatabP10GameObjectP15LogicGameObjectffibiib
0x001e399d      228 _ZN15ParticleEmitterC2EP24LogicParticleEmitterDatabP10GameObjectP15LogicGameObjectffibiib
0x001e3a81      192 _ZN15ParticleEmitterC1EP24LogicParticleEmitterDatabP10GameObjectP15LogicGameObjectbb
0x001e3a81      192 _ZN15ParticleEmitterC2EP24LogicParticleEmitterDatabP10GameObjectP15LogicGameObjectbb
0x001e6b4d      620 _ZN15FacebookManager18friendListReceivedEP14LogicArrayListIP11FriendEntryE
0x001e70b9       44 _ZNK15FacebookManager9getFriendEP9LogicLong
0x001e7215      364 _ZN15FacebookManager19startProfPicLoadingEP9LogicLong
0x001e77a9        4 _ZN6Friend9setHomeIdEP9LogicLong
0x001e7903       20 _ZN6Friend11setAvatarIdEP9LogicLong
0x001e7917        6 _ZN6Friend13setAvatarNameERK6String
0x001e7935       24 _ZN6Friend13setAllianceIdEP9LogicLong
0x001e80e1      584 _ZN17GameCenterManager18friendListReceivedEP14LogicArrayListIP11FriendEntryE
0x001e84c5       10 _ZN17GameCenterManager38sendBindAccountMessageToPendingAccountEb
0x001e8941      260 _ZN17GameCenterManager22sendBindAccountMessageERK6Stringb
0x001e8c45      276 _ZN17GameCenterManager18refreshAchievementEP20LogicAchievementData
0x001e93cd     1400 _ZN6AnimalC2EP14LogicDataTableiiiiiiibifbb
0x001e93cd     1400 _ZN6AnimalC1EP14LogicDataTableiiiiiiibifbb
0x001ecba9      200 _ZN6BottleC2EP15LogicLetterDataii
0x001ecba9      200 _ZN6BottleC1EP15LogicLetterDataii
0x001ed311       92 _ZNK13BottleManager15isLocationValidEP12LogicMapNode
0x001edc69     1880 _ZN8BuildingC2EP15LogicGameObject
0x001edc69     1880 _ZN8BuildingC1EP15LogicGameObject
0x001ee511        8 _ZNK8Building16getLogicBuildingEv
0x001f24b5      184 _ZN8Building19extraCharacterAddedEP18LogicCharacterDataP13LogicBuildingibb
0x001f256d       80 _ZN8Building24refreshPositionFromLogicEv
0x001f25ed      556 _ZN8Building16getBuildingMovieEP17LogicBuildingDataP13LogicBuilding
0x001f43ad      688 _ZN9CharacterC2EP15LogicGameObject
0x001f43ad      688 _ZN9CharacterC1EP15LogicGameObject
0x001f465d      100 _ZNK9Character17getLogicCharacterEv
0x001f4f75     1234 _ZN9Character23calculatePositionInBoatEP12LogicVector2RiS2_iiib
0x001f5a35      160 _ZN17CharacterAnimatorC2EP14LogicDataTable
0x001f5a35      160 _ZN17CharacterAnimatorC1EP14LogicDataTable
0x001f605f      128 _ZN17CharacterAnimator19resetAnimationTableEP14LogicDataTable
0x001f69e3       86 _ZN17CharacterAnimator21getRandomVariationIdxEP18LogicAnimationData
0x001f6d05      184 _ZN4DecoC2EP15LogicGameObject
0x001f6d05      184 _ZN4DecoC1EP15LogicGameObject
0x001f6dbd        8 _ZNK4Deco12getLogicDecoEv
0x001f6e71      308 _ZN14ExtraCharacterC1EP8BuildingP18LogicCharacterDatai
0x001f6e71      308 _ZN14ExtraCharacterC2EP8BuildingP18LogicCharacterDatai
0x001f75f9      296 _ZN14ExtraCharacter9setOriginEP13LogicBuilding
0x001f7721      214 _ZN14ExtraCharacter18getPosInsideParentEP12LogicVector2
